st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_prov,logg,logg_prov,feh,feh_prov,radius,mass,dens,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date
q1_q17_dr25_supp_stellar,6762819,2MASS J19071834+4213151,286.82645,42.220879,15.140999999999998,5877,KIC0,4.388,KIC0,-0.1,KIC0,1.041,0.965,1.204,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6762829,2MASS J19071928+4216451,286.83035,42.279202000000005,13.940999999999999,5623,SPE37,3.925,TRA37,-0.12,SPE37,1.841,1.038,0.2344,DSEP,1,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6763281,2MASS J19080078+4216541,287.00327000000004,42.281689,14.73,5262,PHO1,3.8360000000000003,KIC0,-0.46,KIC0,1.8259999999999998,0.834,0.1929,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6763507,2MASS J19082031+4214485,287.08463,42.246811,14.218,5332,KIC0,3.952,KIC0,-0.24,KIC0,1.631,0.87,0.2823,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6763595,2MASS J19082862+4213028,287.11929,42.217468,14.946,5992,PHO1,4.391,KIC0,-0.54,KIC0,0.972,0.847,1.3,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6763737,2MASS J19084217+4216209,287.17575,42.272490999999995,14.542,5986,PHO1,4.356,KIC0,-0.04,KIC0,1.11,1.019,1.048,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6764335,2MASS J19094154+4212048,287.4231,42.201351,13.54,5810,PHO1,4.349,KIC0,-0.18,KIC0,1.056,0.908,1.087,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6764826,2MASS J19102906+4216449,287.62112,42.279140000000005,14.324000000000002,5914,PHO1,4.393,KIC0,-0.12,KIC0,1.038,0.971,1.2229999999999999,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6765602,2MASS J19114153+4213326,287.92307,42.225739000000004,13.977,5776,PHO1,4.138999999999999,KIC0,-0.4,KIC0,1.296,0.843,0.5455,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6766634,2MASS J19131690+4215411,288.32043,42.261414,13.709000000000001,6018,SPE59,4.257,SPE59,0.06,SPE59,1.286,1.09,0.7216,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6767100,2MASS J19135647+4214031,288.48532,42.234192,14.603,5839,PHO1,4.273,KIC0,-0.3,KIC0,1.133,0.877,0.8489,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6767337,2MASS J19141862+4217456,288.57757999999995,42.296021,12.588,5787,SPE90,4.33,SPE90,0.04,SPE90,1.122,0.982,0.9785,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6767897,2MASS J19150940+4214010,288.78918,42.23362,13.829,5623,PHO1,4.281000000000001,KIC0,-0.04,KIC0,1.1340000000000001,0.895,0.8648,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6767962,2MASS J19151473+4216125,288.8114,42.270161,14.049000000000001,5552,PHO1,4.372,KIC0,-0.22,KIC0,0.97,0.81,1.249,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6768394,2MASS J19155069+4215540,288.96124,42.265011,13.959000000000001,5862,SPE58,4.194,SPE58,-0.1,SPE58,1.307,0.973,0.6143,DSEP,3,4,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6773781,2MASS J19224451+4214513,290.68549,42.247589000000005,14.475999999999999,5749,KIC0,4.261,KIC0,-0.4,KIC0,1.102,0.809,0.8505,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6774054,2MASS J19230427+4215463,290.76779,42.262878,12.79,5589,PHO1,3.824,FLK73,-0.34,KIC0,2.06,1.032,0.1662,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6774126,2MASS J19230934+4217478,290.78893999999997,42.296619,14.085999999999999,5372,KIC0,4.05,KIC0,0.28,KIC0,1.5659999999999998,1.002,0.3676,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6774837,2MASS J19240445+4212349,291.01859,42.209702,13.705,5930,PHO1,4.394,KIC0,-0.58,KIC0,0.9490000000000001,0.815,1.3419999999999999,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6775006,2MASS J19241768+4214249,291.07364,42.240337,11.658,5904,PHO54,4.173,PHO54,-0.28,PHO54,1.3019999999999998,0.922,0.5879,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6775606,2MASS J19250371+4217313,291.2655,42.292041999999995,15.035,5806,PHO1,4.335,KIC0,0.18,KIC0,1.153,1.05,0.9639,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6776485,2MASS J19260947+4212168,291.53946,42.204681,13.52,5273,PHO1,3.798,KIC0,-0.44,KIC0,1.962,0.883,0.1645,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6776594,2MASS J19261775+4212464,291.57397000000003,42.212933,13.202,5964,PHO54,3.9339999999999997,PHO54,-0.38,PHO54,1.801,1.016,0.2451,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6776673,2MASS J19262346+4215064,291.59775,42.251781,11.044,5296,SPE74,3.697,SPE74,-0.28,SPE74,2.506,1.139,0.102,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6777004,2MASS J19265076+4217083,291.71152,42.28566,12.530999999999999,5892,PHO1,4.386,FLK73,-0.06,KIC0,1.054,0.985,1.186,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6777016,2MASS J19265161+4213366,291.71509,42.226867999999996,11.392999999999999,5708,PHO54,4.306,PHO54,-0.3,PHO54,1.06,0.829,0.9805,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6778227,2MASS J19281946+4214196,292.08109,42.238781,14.989,6057,PHO1,4.381,KIC0,-0.22,KIC0,1.055,0.976,1.172,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6778540,2MASS J19284158+4213499,292.17331,42.230522,10.763,5988,PHO54,4.0760000000000005,PHO54,-0.38,PHO54,1.473,0.942,0.4153,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6779145,2MASS J19292574+4213194,292.35727,42.222061,13.628,5208,PHO1,3.765,KIC0,0.07,KIC0,2.4330000000000003,1.257,0.12300000000000001,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6779418,2MASS J19294615+4217226,292.44232,42.289631,12.918,5949,PHO1,4.2989999999999995,FLK73,-0.48,KIC0,1.081,0.849,0.9455,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6779613,2MASS J19300049+4212496,292.50208,42.213791,12.629000000000001,5799,PHO1,3.705,KIC0,-1.22,KIC0,2.162,0.864,0.1203,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6780158,2MASS J19303832+4216221,292.6597,42.272831,13.145,5238,PHO1,3.84,KIC0,-0.32,KIC0,1.883,0.894,0.1887,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6780263,2MASS J19304569+4215487,292.6904,42.26355,13.792,5506,SPE68,4.141,SPE68,0.0,SPE68,1.335,0.898,0.5318,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6780744,2MASS J19312159+4214510,292.84,42.247509,13.222999999999999,5436,SPE68,4.0280000000000005,SPE68,-0.14,SPE68,1.506,0.885,0.3646,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6780819,2MASS J19312769+4213418,292.86539,42.228297999999995,13.77,5868,PHO1,4.363,KIC0,-0.22,KIC0,1.042,0.915,1.138,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781094,2MASS J19314807+4215422,292.95032000000003,42.261742,13.274000000000001,6020,PHO1,4.147,FLK73,-0.18,KIC0,1.402,1.008,0.5148,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781148,2MASS J19315206+4217001,292.96692,42.283371,13.251,5622,PHO1,4.258,KIC0,0.18,KIC0,1.217,0.979,0.7641,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781158,2MASS J19315249+4216244,292.96869,42.273472,13.421,6046,PHO1,4.2989999999999995,FLK73,-0.54,KIC0,1.089,0.86,0.9381,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781315,2MASS J19320296+4215510,293.01236,42.264179,13.547,5727,PHO1,4.292,KIC0,-0.16,KIC0,1.114,0.888,0.9034,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781383,2MASS J19320803+4217003,293.03345,42.28344,13.985999999999999,5843,PHO1,4.23,KIC0,0.02,KIC0,1.276,1.007,0.6829999999999999,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781404,2MASS J19320940+4215394,293.03918,42.260971000000005,14.061,6000,KIC0,4.385,KIC0,-0.4,KIC0,1.0070000000000001,0.897,1.238,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6781535,2MASS J19321788+4216489,293.07452,42.280258,13.665999999999999,5857,SPE68,4.396,SPE68,-0.04,SPE68,1.0390000000000001,0.981,1.2309999999999999,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6782111,2MASS J19325580+4213418,293.23254,42.228279,14.478,5684,SPE68,3.863,SPE68,-0.28,SPE68,1.9780000000000002,1.042,0.1897,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6782515,2MASS J19332353+4212528,293.34805,42.214690999999995,13.44,6029,PHO1,4.277,KIC0,-0.14,KIC0,1.204,1.001,0.8087,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6782960,2MASS J19335062+4212574,293.46094,42.215961,13.774000000000001,5985,SPE68,4.341,SPE68,-0.42,SPE68,1.051,0.882,1.07,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6783395,2MASS J19341759+4216010,293.57333,42.266971999999996,13.725,5505,PHO1,4.317,KIC0,-0.02,KIC0,1.065,0.859,1.002,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6783496,2MASS J19342436+4214114,293.6015,42.2365,15.249,5914,PHO1,4.394,KIC0,-0.38,KIC0,0.9840000000000001,0.876,1.295,DSEP,0,0,0,,2018-01-06 0
