KIC,Period,teff,logg,radius,mass,dens
8459744,18.578,5952.0,4.181,1.406,1.091,0.5534
7115012,12.962,5303.0,4.372,1.011,0.879,1.197
10453588,17.189,5753.0,4.2,1.222,0.863,0.6666
7584294,14.758,6003.0,4.369,1.085,1.002,1.106
3103698,14.049,5687.0,4.046,1.4240000000000002,0.8220000000000001,0.4008
7447645,15.96,5979.0,4.25,1.273,1.051,0.7185
9595994,21.652,5641.0,4.204,1.317,1.01,0.6233
3557141,15.424,5941.0,4.314,1.069,0.8590000000000001,0.9901
10662300,16.345,5473.0,4.107,1.39,0.902,0.4731
4850488,8.851,5731.0,4.1530000000000005,1.388,0.9990000000000001,0.526
4265354,13.932,5659.0,4.258,1.241,1.0170000000000001,0.7502
9776327,10.787,5360.0,4.38,1.017,0.904,1.21
8574113,14.757,5784.0,4.399,0.919,0.7709999999999999,1.399
4751423,13.872,5675.0,4.351,1.064,0.9259999999999999,1.084
11805480,13.783,6013.0,4.348,1.093,0.972,1.05
8077380,8.968,5618.0,3.638,2.489,0.982,0.0897
6424073,17.148,5819.0,4.375,1.04,0.9359999999999999,1.17
3329136,14.621,5900.0,4.134,1.3969999999999998,0.971,0.5013
9668665,12.952,5712.0,3.865,2.073,1.147,0.1813
10795039,45.87,5907.0,4.019,1.56,0.929,0.3448
7693724,17.052,5675.0,4.077,1.463,0.9329999999999999,0.4194
5092731,14.334,5842.0,4.299,1.168,0.991,0.8757
8707570,0.0,5277.0,4.012,1.564,0.9159999999999999,0.337
6868860,21.881,5219.0,4.033,1.544,0.9390000000000001,0.3594
7416306,14.98,5425.0,3.704,2.655,1.304,0.09808
5697805,14.711,5915.0,4.284,1.11,0.866,0.8907
5686759,17.227,5207.0,3.749,2.007,0.825,0.1436
5462311,14.558,6045.0,4.176,1.364,1.0190000000000001,0.5651
7949677,14.091,5892.0,4.382,1.038,0.9470000000000001,1.193
5639617,13.221,5956.0,4.375,1.029,0.917,1.185
4446140,16.314,5885.0,3.924,1.807,1.0,0.2388
10074605,11.619,5700.0,4.383,1.016,0.909,1.22
7335509,30.747,5792.0,4.346,1.094,0.9690000000000001,1.042
8569698,12.754,5349.0,4.396,0.963,0.841,1.328
2858292,16.187,5927.0,4.171,1.379,1.028,0.5526
8526878,15.016,5811.0,4.11,1.476,1.022,0.4481
7255555,20.892,5942.0,4.375,1.092,1.0290000000000001,1.115
9570221,18.007,6047.0,4.356,1.103,1.0070000000000001,1.057
10718535,7.523,5923.0,4.215,1.288,0.992,0.6546
8804283,16.291,5478.0,4.36,1.064,0.946,1.107
6586208,12.928,5370.0,4.337,1.055,0.8809999999999999,1.056
10197841,21.021,5725.0,4.055,1.4980000000000002,0.93,0.3894
7729207,12.953,5504.0,4.357,1.002,0.8340000000000001,1.167
9418746,12.816,5539.0,4.2780000000000005,1.169,0.9440000000000001,0.8325
4770798,15.59,5553.0,4.33,1.098,0.941,1.001
11564870,5.404,5607.0,4.313,1.053,0.831,1.002
5783428,11.835,5583.0,4.381,0.995,0.868,1.242
8570436,13.357,5929.0,4.373,1.085,1.012,1.118
5431009,15.734,6014.0,4.164,1.4469999999999998,1.114,0.5173
1432789,14.896,5782.0,4.28,1.22,1.035,0.8029999999999999
10229329,27.62,5216.0,3.907,1.723,0.875,0.241
8703528,0.2,5491.0,3.702,2.83,1.47,0.0914
6382838,0.0,5610.0,3.987,1.662,0.978,0.3003
5430087,14.008,6020.0,4.301,1.256,1.1520000000000001,0.8191
8188972,44.129,5701.0,4.362,0.962,0.7759999999999999,1.23
12356966,17.916,5606.0,4.299,1.16,0.977,0.8819
10517413,17.595,6042.0,4.106,1.581,1.1640000000000001,0.415
8018709,14.379,5465.0,3.745,2.513,1.281,0.1137
5450253,15.437,5552.0,4.372,0.97,0.81,1.249
6142585,38.91,5360.0,3.688,2.847,1.44,0.08788
7050370,15.625,5979.0,4.354,1.102,1.0,1.052
8179635,14.732,5767.0,4.397,0.964,0.847,1.331
6105359,15.768,5533.0,4.244,1.255,1.0090000000000001,0.7181
9898857,14.258,5782.0,4.392,1.08,1.05,1.1740000000000002
10593587,16.177,5375.0,4.382,0.981,0.847,1.263
2010835,45.654,5959.0,4.167,1.3159999999999998,0.927,0.5732
4543666,0.0,5781.0,4.364,1.115,1.0490000000000002,1.0659999999999998
5385647,15.671,5349.0,4.044,1.505,0.914,0.3778
4172164,16.206,5442.0,3.858,2.166,1.2329999999999999,0.171
