,KIC,Teff,logg,Mass,Period
22270,9549389,6100,4.2,1.1382,4.4030000000000005
22271,9549472,5571,4.4,0.9839,15.72
22272,9549542,6029,3.91,1.1159,5.343
22273,9549551,5428,3.91,0.9456,29.516
22274,9549658,5038,4.46,0.8441,42.147
22275,9549688,5975,4.3,1.0994,6.937
22276,9549718,5493,4.49,0.9629,32.117
22277,9550384,6199,3.82,1.1703,7.23
22278,9550536,5414,4.34,0.9419,19.034000000000002
22279,9550775,5653,4.53,1.0063,13.442
22280,9551041,5328,4.03,0.9193,60.849
22281,9551111,5496,4.36,0.9637,54.458
22282,9551179,5779,4.39,1.0417,56.733999999999995
22283,9552011,5845,4.17,1.0607,5.332000000000001
22284,9552299,5676,3.98,1.0127,35.074
22285,9552358,5462,4.51,0.9546,67.28
22286,9552428,5735,4.32,1.0292,2.5639999999999996
22287,9552598,5713,4.3,1.023,51.483000000000004
22288,9552635,5823,4.17,1.0543,4.66
22289,9569036,5359,4.65,0.9274,24.211
22290,9569193,5478,4.51,0.9588,66.317
22291,9569450,5800,4.37,1.0477,63.933
22292,9569465,5758,4.61,1.0357,30.906
22293,9569515,5332,4.5,0.9203,49.586999999999996
22294,9569698,4879,4.68,0.8027,17.188
22295,9569714,4806,4.53,0.7836,31.642
22296,9569836,5089,4.56,0.8573,33.93
22297,9569840,5228,3.88,0.8933,47.048
22298,9569912,4464,4.7,0.6902,47.375
22299,9570283,6016,4.04,1.1119,54.159
22300,9570398,5291,4.56,0.9096,27.984
