,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
111,6863530,20.167,5494.0,3.977,1.5619999999999998,0.843,0.3118,5494,3.977,1.5619999999999998,0.843,0.3118
112,5033682,48.106,5738.0,3.946,1.864,1.119,0.2433,5738,3.946,1.864,1.119,0.2433
113,8886017,10.197000000000001,5702.0,4.371,1.008,0.872,1.198,5702,4.371,1.008,0.872,1.198
114,4242173,14.45,5922.0,4.17,1.334,0.96,0.5703,5922,4.17,1.334,0.96,0.5703
115,8038666,13.804,5860.0,4.343999999999999,1.077,0.933,1.053,5860,4.3439999999999985,1.077,0.9329999999999999,1.053
116,8442985,13.835999999999999,5721.0,4.37,1.035,0.915,1.1640000000000001,5721,4.37,1.035,0.915,1.164
117,11673674,4.746,6013.0,4.381,1.033,0.938,1.197,6013,4.381,1.033,0.938,1.197
118,10935400,0.0,6045.0,4.395,1.122,1.145,1.141,6045,4.395,1.122,1.145,1.141
119,11753179,15.807,5887.0,4.35,1.062,0.921,1.083,5887,4.35,1.062,0.9209999999999999,1.083
120,9285949,0.0,5866.0,4.379,1.036,0.938,1.188,5866,4.379,1.036,0.938,1.188
121,5899165,11.48,6014.0,4.393,1.063,1.019,1.195,6014,4.393,1.063,1.0190000000000001,1.195
122,8938628,10.127,5815.0,4.349,0.9690000000000001,0.764,1.183,5815,4.349,0.969,0.764,1.183
123,10878105,16.912,5223.0,3.84,1.83,0.8440000000000001,0.1941,5223,3.84,1.83,0.8440000000000001,0.1941
124,8655757,14.345,5783.0,4.317,1.167,1.031,0.9129,5783,4.317,1.167,1.031,0.9129
125,6923711,0.0,5412.0,3.775,2.044,0.908,0.1497,5412,3.775,2.044,0.9079999999999999,0.1497
126,9994789,17.346,5497.0,3.842,2.1430000000000002,1.166,0.1669,5497,3.842,2.143,1.166,0.1669
127,8895012,16.129,5456.0,4.234,1.21,0.916,0.7275,5456,4.234,1.21,0.9159999999999999,0.7275
128,4447821,16.177,5720.0,4.263,1.133,0.857,0.8313,5720,4.263,1.133,0.857,0.8313
129,8029079,13.126,5650.0,4.3580000000000005,1.022,0.868,1.147,5650,4.3580000000000005,1.022,0.868,1.147
130,8077755,13.561,5650.0,4.391,0.9259999999999999,0.77,1.365,5650,4.391,0.926,0.77,1.365
131,3330643,14.790999999999999,5733.0,3.9139999999999997,1.9509999999999998,1.139,0.2159,5733,3.914,1.951,1.139,0.2159
132,5715686,9.899,6033.0,3.8810000000000002,2.173,1.308,0.1795,6033,3.881,2.173,1.308,0.1795
